rank,code,name,board_label,reason_tags,latest_price,change_percent,amount,turnover_rate,industry
1,688287,*ST观典,2连板,低空经济、军工,1.96,20.25,47534689,13.71,ST板块
2,688805,健信超导,首板,次新股、医疗器械,56.92,20.01,517692320,29.9,次新股
3,301189,奥尼电子,2连板,车路云、消费电子,86.39,20,1139401129,32.62,算力
4,301408,华人健康,首板,AI医疗、AI应用,20.78,19.98,1272624495,38.66,医药
17,000785,居然智家,首板,超跌、AI智能体,2.7,10.2,349311281,5.96,智能家居
18,002124,天邦食品,3连板,猪肉、农业,3.14,10.18,1211353414,20.61,农业
19,002589,瑞康医药,首板,医药零售、新冠药概念,3.59,10.12,331610955,8.41,医药
20,600572,康恩贝,首板,创新药、病毒防治,4.8,10.09,966306006,12.05,医药
21,000788,北大医药,首板,医药、新冠药概念,6.77,10.08,741744970,28.85,医药
22,002798,帝欧水华,首板,装修家具、地产链,6.67,10.07,132362091,5.44,智能家居
23,605388,均瑶健康,首板,食品饮料、保健品,7.33,10.06,278189185,20.1,保健品
24,600267,海正药业,首板,创新药、医药零售,11.39,10.05,548437451,6.62,医药
25,001896,豫能控股,首板,电力、智能电网,16.57,10.03,4219852282,45.74,电力
26,001208,华菱线缆,首板,电气设备、碳中和,21.4,10.03,926643868,16.65,商业航天
