rank,code,name,concepts,latest_price,change_percent,amount,turnover_rate,board_label,industry,raw_columns
1,301666,N大普微,存储、算力,244.55,430.71,4863699476,82.94,,,63
2,603293,N埃泰克,智能驾驶、一季报增长,71.02,112.06,1865550407,71.89,,,63
3,300027,华谊兄弟,影视院线、文化传媒,2.09,20.11,807180715,16.67,首板,文化传媒,63
4,300798,锦鸡股份,算力租赁、算力,13.42,20.04,999306307,27.46,首板,算力,63
5,301603,乔锋智能,印制电路板、通信,90.41,20,1066272322,32.64,首板,机器人概念,63
6,300905,宝丽迪,化工、芯片,46.32,20,438042956,11.15,首板,化工,63
7,301148,嘉戎技术,环保、锂电池,60.23,20,512062960,22.22,首板,锂电池,63
8,688227,品高股份,算力调度、算力,84.47,20,607476148,11.83,首板,算力,63
9,300736,百邦科技,实控人变更、消费电子,23.78,19.98,520589621,25,首板,实控人变更,63
10,688287,*ST观典,低空经济、军工,2.35,19.9,143233219,34.97,3连板,ST板块,63
11,301382,蜂助手,DeepSeek、人工智能,40.49,15.69,2126573704,34.69,,人工智能,63
12,301282,金禄电子,CPO/MPO、通信,45.45,15.06,1211264956,39.62,,通信,63
13,300290,荣科科技,算力、数字经济,16.39,15.02,1530408428,18.53,,算力,63
14,300587,天铁科技,锂电池、轨道交通,5.93,14.04,406998838,8.19,,锂电池,63
15,300938,信测标准,存储、小米机器人,51.19,12.38,1550421220,24.04,,芯片,63
16,301086,鸿富瀚,苹果概念、消费电子,164.61,12.31,608256579,11.57,,消费电子,63
17,301548,崇德科技,燃气轮机、智能电网,79.2,12.18,249078358,13.29,,燃气轮机,63
18,301030,仕净科技,光伏、环保,11.4,12.09,261882592,16.6,,光伏,63
19,300936,中英科技,覆铜板、通信,74.1,11.93,640953110,29.01,,通信,63
20,300853,申昊科技,机器人概念、神经网络,23.55,11.88,281618520,12.55,,机器人概念,63
21,688159,有方科技,算力租赁、算力,47.84,11.85,486338575,15.79,,算力,63
22,300270,中威电子,储能、算力,11.45,11.71,272987663,12.98,,储能,63
23,301123,奕东电子,液冷、算力,69.61,11.64,1513747377,27.17,,算力,63
24,300351,永贵电器,华为超充、汽车充电,17.85,11.56,733914806,21.9,,汽车充电,63
25,688500,慧辰股份,AI应用、算力租赁,53.66,11.56,262368806,10.28,,AI应用,63
26,300352,北信源,OpenClaw、AI应用,7.81,11.41,945991799,10.48,,AI应用,63
